Formula,Space Group Number,Formation Energy,Volume,Density,Total Magnetization
MgSi2,2,0.174382205833332,223.14048701868964,2.395505068741896,0.002811799999999
MgSi2,2,0.194516294166666,436.84046729138095,2.447274040379879,0.000127599999999
MgSi2,2,0.179206316666666,229.1272083557563,2.332914416976867,0.0004507
MgSi2,2,0.166528828333332,223.3247461754549,2.393528602848383,0.0018364
MgSi2,2,0.177380451249999,424.52391331556646,2.518275889431295,0.000212299999999
MgSi2,2,0.233150257499999,205.8500357089038,2.596716419572065,0.007323599999999
MgSi2,2,0.164259925416666,460.8738152010973,2.319655185710944,0.001430399999999
MgSi2,2,0.220740569999999,423.4266580876108,2.524801674552132,0.0011196
MgSi2,2,0.241407212916666,422.5034510985839,2.530318587007622,0.003783899999999
MgSi2,2,0.190394992499999,416.7168975244032,2.565454728955423,0.000438099999999
MgSi2,2,0.244966398333332,220.77119796440104,2.4212133313739552,0.0035023
MgSi2,2,0.207096368333332,103.2246274607662,2.589179447017006,0.000184
MgSi2,2,0.266338362499999,211.0231052538389,2.533059908543271,0.000767099999999
Mn20O43,2,-1.587591254501915,726.3688102339088,4.084623945045255,22.000001
Mn2F7,2,-2.49551043454023,242.98793935930752,3.319396641742326,14.0000002
Mn2O3,2,-1.937033123922412,841.82162155356,4.98265037522671,128.0063072
